[2025-12-20 14:01:47] Target: 8.8.8.8 | Status: UP | Latency: 321.71ms
[2025-12-20 14:01:48] Target: 1.1.1.1 | Status: UP | Latency: 413.04ms
[2025-12-20 14:01:48] Target: google.com | Status: UP | Latency: 123.82ms
[2025-12-20 14:01:48] Target: 127.0.0.1 | Status: UP | Latency: 16.14ms
[2025-12-20 14:01:53] Target: 8.8.8.8 | Status: UP | Latency: 69.8ms
[2025-12-20 14:01:53] Target: 1.1.1.1 | Status: UP | Latency: 80.38ms
[2025-12-20 14:01:53] Target: google.com | Status: UP | Latency: 69.66ms
[2025-12-20 14:01:53] Target: 127.0.0.1 | Status: UP | Latency: 20.17ms
[2025-12-20 14:01:58] Target: 8.8.8.8 | Status: UP | Latency: 74.75ms
[2025-12-20 14:01:58] Target: 1.1.1.1 | Status: UP | Latency: 57.49ms
[2025-12-20 14:01:58] Target: google.com | Status: UP | Latency: 68.38ms
[2025-12-20 14:01:58] Target: 127.0.0.1 | Status: UP | Latency: 18.16ms
[2025-12-20 14:02:04] Target: 8.8.8.8 | Status: UP | Latency: 74.06ms
[2025-12-20 14:02:04] Target: 1.1.1.1 | Status: UP | Latency: 79.89ms
[2025-12-20 14:02:04] Target: google.com | Status: UP | Latency: 76.43ms
[2025-12-20 14:02:04] Target: 127.0.0.1 | Status: UP | Latency: 17.95ms
[2025-12-20 14:02:09] Target: 8.8.8.8 | Status: UP | Latency: 76.94ms
[2025-12-20 14:02:09] Target: 1.1.1.1 | Status: UP | Latency: 62.62ms
[2025-12-20 14:02:09] Target: google.com | Status: UP | Latency: 74.92ms
[2025-12-20 14:02:09] Target: 127.0.0.1 | Status: UP | Latency: 20.65ms
[2025-12-20 14:02:14] Target: 8.8.8.8 | Status: UP | Latency: 60.64ms
[2025-12-20 14:02:14] Target: 1.1.1.1 | Status: UP | Latency: 61.09ms
[2025-12-20 14:02:14] Target: google.com | Status: UP | Latency: 77.23ms
[2025-12-20 14:02:14] Target: 127.0.0.1 | Status: UP | Latency: 16.29ms
[2025-12-20 14:02:19] Target: 8.8.8.8 | Status: UP | Latency: 53.46ms
[2025-12-20 14:02:19] Target: 1.1.1.1 | Status: UP | Latency: 53.6ms
[2025-12-20 14:02:19] Target: google.com | Status: UP | Latency: 80.61ms
[2025-12-20 14:02:19] Target: 127.0.0.1 | Status: UP | Latency: 16.59ms
[2025-12-20 14:02:24] Target: 8.8.8.8 | Status: UP | Latency: 74.42ms
[2025-12-20 14:02:25] Target: 1.1.1.1 | Status: UP | Latency: 71.03ms
[2025-12-20 14:02:25] Target: google.com | Status: UP | Latency: 67.75ms
[2025-12-20 14:02:25] Target: 127.0.0.1 | Status: UP | Latency: 16.63ms
[2025-12-20 14:02:30] Target: 8.8.8.8 | Status: UP | Latency: 56.33ms
[2025-12-20 14:02:30] Target: 1.1.1.1 | Status: UP | Latency: 55.15ms
[2025-12-20 14:02:30] Target: google.com | Status: UP | Latency: 87.6ms
[2025-12-20 14:02:30] Target: 127.0.0.1 | Status: UP | Latency: 16.24ms
[2025-12-20 14:02:35] Target: 8.8.8.8 | Status: UP | Latency: 64.78ms
[2025-12-20 14:02:35] Target: 1.1.1.1 | Status: UP | Latency: 60.64ms
[2025-12-20 14:02:35] Target: google.com | Status: UP | Latency: 75.26ms
[2025-12-20 14:02:35] Target: 127.0.0.1 | Status: UP | Latency: 17.37ms
[2025-12-20 14:02:40] Target: 8.8.8.8 | Status: UP | Latency: 59.42ms
[2025-12-20 14:02:40] Target: 1.1.1.1 | Status: UP | Latency: 51.56ms
[2025-12-20 14:02:40] Target: google.com | Status: UP | Latency: 63.42ms
[2025-12-20 14:02:40] Target: 127.0.0.1 | Status: UP | Latency: 20.26ms
[2025-12-20 14:02:45] Target: 8.8.8.8 | Status: UP | Latency: 55.74ms
[2025-12-20 14:02:45] Target: 1.1.1.1 | Status: UP | Latency: 58.67ms
[2025-12-20 14:02:45] Target: google.com | Status: UP | Latency: 69.52ms
[2025-12-20 14:02:45] Target: 127.0.0.1 | Status: UP | Latency: 20.38ms
[2025-12-20 14:02:51] Target: 8.8.8.8 | Status: UP | Latency: 66.72ms
[2025-12-20 14:02:51] Target: 1.1.1.1 | Status: UP | Latency: 71.59ms
[2025-12-20 14:02:51] Target: google.com | Status: UP | Latency: 114.32ms
[2025-12-20 14:02:51] Target: 127.0.0.1 | Status: UP | Latency: 17.71ms
[2025-12-20 14:02:56] Target: 8.8.8.8 | Status: UP | Latency: 57.44ms
[2025-12-20 14:02:56] Target: 1.1.1.1 | Status: UP | Latency: 52.78ms
[2025-12-20 14:02:56] Target: google.com | Status: UP | Latency: 64.74ms
[2025-12-20 14:02:56] Target: 127.0.0.1 | Status: UP | Latency: 17.72ms
[2025-12-20 14:03:01] Target: 8.8.8.8 | Status: UP | Latency: 61.24ms
[2025-12-20 14:03:01] Target: 1.1.1.1 | Status: UP | Latency: 65.9ms
[2025-12-20 14:03:01] Target: google.com | Status: UP | Latency: 62.65ms
[2025-12-20 14:03:01] Target: 127.0.0.1 | Status: UP | Latency: 19.25ms
[2025-12-20 14:03:06] Target: 8.8.8.8 | Status: UP | Latency: 59.82ms
[2025-12-20 14:03:06] Target: 1.1.1.1 | Status: UP | Latency: 53.64ms
[2025-12-20 14:03:06] Target: google.com | Status: UP | Latency: 83.08ms
[2025-12-20 14:03:06] Target: 127.0.0.1 | Status: UP | Latency: 19.1ms
[2025-12-20 14:03:11] Target: 8.8.8.8 | Status: UP | Latency: 54.03ms
[2025-12-20 14:03:12] Target: 1.1.1.1 | Status: UP | Latency: 75.43ms
[2025-12-20 14:03:12] Target: google.com | Status: UP | Latency: 63.47ms
[2025-12-20 14:03:12] Target: 127.0.0.1 | Status: UP | Latency: 21.07ms
[2025-12-20 14:03:17] Target: 8.8.8.8 | Status: UP | Latency: 60.04ms
[2025-12-20 14:03:17] Target: 1.1.1.1 | Status: UP | Latency: 59.8ms
[2025-12-20 14:03:17] Target: google.com | Status: UP | Latency: 65.31ms
[2025-12-20 14:03:17] Target: 127.0.0.1 | Status: UP | Latency: 17.28ms
[2025-12-20 14:03:22] Target: 8.8.8.8 | Status: UP | Latency: 59.42ms
[2025-12-20 14:03:22] Target: 1.1.1.1 | Status: UP | Latency: 52.29ms
[2025-12-20 14:03:22] Target: google.com | Status: UP | Latency: 84.81ms
[2025-12-20 14:03:22] Target: 127.0.0.1 | Status: UP | Latency: 18.41ms
[2025-12-20 14:03:27] Target: 8.8.8.8 | Status: UP | Latency: 56.65ms
[2025-12-20 14:03:27] Target: 1.1.1.1 | Status: UP | Latency: 57.01ms
[2025-12-20 14:03:27] Target: google.com | Status: UP | Latency: 56.37ms
[2025-12-20 14:03:27] Target: 127.0.0.1 | Status: UP | Latency: 50.09ms
[2025-12-20 14:03:32] Target: 8.8.8.8 | Status: UP | Latency: 68.98ms
[2025-12-20 14:03:32] Target: 1.1.1.1 | Status: UP | Latency: 58.25ms
[2025-12-20 14:03:32] Target: google.com | Status: UP | Latency: 81.38ms
[2025-12-20 14:03:32] Target: 127.0.0.1 | Status: UP | Latency: 17.36ms
[2025-12-20 14:03:38] Target: 8.8.8.8 | Status: UP | Latency: 73.98ms
[2025-12-20 14:03:38] Target: 1.1.1.1 | Status: UP | Latency: 57.42ms
[2025-12-20 14:03:38] Target: google.com | Status: UP | Latency: 69.21ms
[2025-12-20 14:03:38] Target: 127.0.0.1 | Status: UP | Latency: 17.71ms
[2025-12-20 14:03:43] Target: 8.8.8.8 | Status: UP | Latency: 60.12ms
[2025-12-20 14:03:43] Target: 1.1.1.1 | Status: UP | Latency: 56.02ms
[2025-12-20 14:03:43] Target: google.com | Status: UP | Latency: 75.23ms
[2025-12-20 14:03:43] Target: 127.0.0.1 | Status: UP | Latency: 17.92ms
[2025-12-20 14:03:48] Target: 8.8.8.8 | Status: UP | Latency: 89.07ms
[2025-12-20 14:03:48] Target: 1.1.1.1 | Status: UP | Latency: 91.86ms
[2025-12-20 14:03:48] Target: google.com | Status: UP | Latency: 88.87ms
[2025-12-20 14:03:48] Target: 127.0.0.1 | Status: UP | Latency: 37.62ms
[2025-12-20 14:03:53] Target: 8.8.8.8 | Status: UP | Latency: 58.33ms
